index,source_kind,seed,volume,surface_area,bbox_x,bbox_y,bbox_z,elongation,flatness,sphericity,roughness,angularity,spike_score,compactness,stability_score,mass,cluster_id,cluster_label
236,course_block_clast,172612304,0.0005816293917316228,0.036520297401038695,0.12292991374015456,0.10481107607124816,0.09331286170120015,1.1728714020318771,1.1232221813844567,0.9226720865220733,0.10290556379113112,0.231413970002677,0.10567177784281401,0.4837712772635352,1.365303243155526,1.5122364185022192,10,compact_block_clast_7
237,chock_clast,229858933,0.00047968127457871337,0.03252191531740521,0.12287880377066598,0.09868213100104986,0.07877695122097719,1.2451981176750095,1.2526777118377768,0.9111919059515691,0.1332684072139616,0.23113915636079513,0.14000000019591008,0.5021553591696529,1.780438633760123,1.2471713139046547,8,angular_clast_3
238,interlock_block_clast,1337047551,0.0002755327553347051,0.02224711076404644,0.10206572892508069,0.08171870371837288,0.07196995080964708,1.2489885947876724,1.1354558784472457,0.9204340242804562,0.10744146893625887,0.23258196400194495,0.15000000112793876,0.45900838472647665,1.4821483092516035,0.7163851638702332,3,angular_clast
239,cap_block_clast,1299133834,0.0006648905420373698,0.039574584600754935,0.12494724526377693,0.106602485775702,0.10389857279409304,1.172085663430714,1.0260245440230213,0.9308960690106105,0.07271740948195282,0.23198834334180368,0.1300000002778663,0.48044818377231024,1.1486191428099657,1.7287154092971613,9,compact_block_clast_6
240,bearing_block_clast,99599732,0.0010499906381486687,0.055131407237562456,0.1620414655695116,0.13856717745790392,0.10180965511162043,1.1694072762558727,1.361041615414411,0.9061678804485112,0.12585415963178442,0.23231042741171784,0.14000039101810846,0.4593142585157655,1.962986283857262,2.7299756591865387,8,angular_clast_3
241,buttress_clast,13424711,0.00135349610118512,0.06391458640252419,0.16539763529705634,0.14544920022040728,0.12941137550401205,1.1371505312261607,1.1239290182484616,0.9258105973415828,0.09425544299432101,0.2320979297618704,0.1500000067022791,0.43475433601701774,1.3298965968539602,3.519089863081312,6,compact_block_clast_5
242,subangular_block,1633855092,0.0009554008638841935,0.05155562286130759,0.16318425059360891,0.13051693499042955,0.1046121289351022,1.2502917771212967,1.247627175921425,0.9099101428182302,0.13850765980573373,0.23132837968220546,0.15999999999999992,0.4288036579032734,1.7708408555580375,2.484042246098903,8,angular_clast_3
243,course_block_clast,1511504910,0.0015674315544988266,0.07102574720540465,0.17930490199084714,0.14652577499698133,0.13084128229702358,1.22370894809832,1.1198741897404543,0.9187429865991927,0.11054694037278566,0.23182424636679455,0.13000000127678435,0.45597140063376834,1.4099725033253239,4.075322041696949,6,compact_block_clast_5
244,compact_block_clast,816641029,0.0008111168552179407,0.045213004234779655,0.1254022411958436,0.10727142559904893,0.12431623556914828,1.0087358310177534,1.158894224393066,0.9302714872821899,0.07005582023467011,0.2318866043562266,0.14000000018036363,0.48502734595930247,1.2603023747008983,2.1089038235666457,10,compact_block_clast_7
245,wall_block_clast,2132936383,0.0008549809392669708,0.047264732139658296,0.1421203939363912,0.09498227466801942,0.12410413592826963,1.145170488262653,1.3066031147604802,0.9216892991749092,0.06108352981401616,0.2333556953815967,0.1300000029459767,0.5103536310271164,1.801947240790043,2.222950442094124,10,compact_block_clast_7
